iter	Passed	Remaining
1492	8519	48545
1493	8525	48538
1494	8530	48531
1495	8536	48525
1496	8541	48518
1497	8547	48511
1498	8552	48504
1499	8558	48499
1500	8564	48492
1501	8569	48485
1502	8575	48479
1503	8580	48473
1504	8586	48466
1505	8592	48461
1506	8597	48454
1507	8603	48448
1508	8608	48440
1509	8613	48431
1510	8619	48423
1511	8624	48416
1512	8630	48409
1513	8635	48402
1514	8641	48397
1515	8646	48390
1516	8652	48385
1517	8658	48378
1518	8663	48371
1519	8669	48365
1520	8674	48358
1521	8680	48352
1522	8685	48345
1523	8691	48337
1524	8696	48331
1525	8702	48323
1526	8707	48316
1527	8713	48309
1528	8718	48301
1529	8723	48293
1530	8729	48287
1531	8734	48279
1532	8739	48272
1533	8745	48263
1534	8750	48256
1535	8755	48248
1536	8761	48241
1537	8766	48233
1538	8772	48226
1539	8777	48220
1540	8783	48214
1541	8789	48208
1542	8794	48200
1543	8799	48194
1544	8805	48187
1545	8810	48180
1546	8816	48173
1547	8821	48165
1548	8827	48159
1549	8832	48153
1550	8838	48147
1551	8844	48141
1552	8849	48133
1553	8854	48126
1554	8860	48118
1555	8865	48111
1556	8870	48103
1557	8876	48095
1558	8917	48282
1559	8923	48278
1560	8929	48274
1561	8935	48268
1562	8940	48262
1563	8946	48254
1564	8951	48247
1565	8956	48239
1566	8962	48232
1567	8967	48225
1568	8973	48217
1569	8978	48209
1570	8983	48202
1571	8989	48195
1572	8994	48188
1573	9000	48181
1574	9006	48179
1575	9012	48172
1576	9018	48166
1577	9023	48159
1578	9029	48152
1579	9034	48146
1580	9039	48138
1581	9045	48132
1582	9051	48125
1583	9056	48117
1584	9061	48110
1585	9067	48102
1586	9072	48095
1587	9077	48087
1588	9083	48081
1589	9088	48072
1590	9094	48066
1591	9099	48059
1592	9105	48053
1593	9110	48046
1594	9116	48040
1595	9121	48032
1596	9127	48025
1597	9132	48017
1598	9138	48010
1599	9143	48002
1600	9148	47996
1601	9154	47988
1602	9159	47982
1603	9165	47977
1604	9170	47968
1605	9176	47961
1606	9181	47952
1607	9187	47947
1608	9192	47941
1609	9198	47935
1610	9204	47928
1611	9209	47922
1612	9215	47915
1613	9220	47908
1614	9226	47900
1615	9231	47894
1616	9236	47886
1617	9242	47878
1618	9247	47871
1619	9252	47863
1620	9258	47855
1621	9263	47848
1622	9269	47841
1623	9274	47835
1624	9280	47828
1625	9285	47823
1626	9291	47816
1627	9297	47810
1628	9302	47804
1629	9308	47797
1630	9313	47790
1631	9319	47784
1632	9324	47776
1633	9330	47770
1634	9335	47764
1635	9341	47759
1636	9347	47754
1637	9353	47750
1638	9359	47744
1639	9364	47737
1640	9370	47731
1641	9375	47724
1642	9381	47716
1643	9386	47707
1644	9391	47699
1645	9396	47692
1646	9402	47685
1647	9407	47677
1648	9412	47669
1649	9418	47661
1650	9423	47654
1651	9429	47647
1652	9434	47641
1653	9440	47634
1654	9445	47627
1655	9450	47618
1656	9456	47612
1657	9461	47604
1658	9467	47597
1659	9472	47590
1660	9477	47583
1661	9483	47575
1662	9488	47569
1663	9494	47562
1664	9499	47555
1665	9505	47548
1666	9510	47541
1667	9515	47533
1668	9520	47524
1669	9526	47517
1670	9531	47509
1671	9536	47502
1672	9542	47495
1673	9547	47487
1674	9553	47479
1675	9558	47472
1676	9563	47465
